bucket_offset_s,bucket_epoch_start,requests,rps,day,bucket_seconds,source_parts
240,899935440,3880,388.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
250,899935450,3952,395.200000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
260,899935460,4275,427.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
270,899935470,4124,412.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
280,899935480,4254,425.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
290,899935490,4275,427.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
300,899935500,4447,444.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
310,899935510,4280,428.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
320,899935520,4465,446.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
330,899935530,3943,394.300000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
340,899935540,4034,403.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
350,899935550,4269,426.900000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
360,899935560,4076,407.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
370,899935570,4119,411.900000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
380,899935580,4092,409.200000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
390,899935590,3946,394.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
400,899935600,3916,391.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
410,899935610,4015,401.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
420,899935620,3884,388.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
430,899935630,3978,397.800000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
440,899935640,3855,385.500000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
450,899935650,3786,378.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
460,899935660,3742,374.200000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
470,899935670,3783,378.300000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
480,899935680,3909,390.900000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
490,899935690,3857,385.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
500,899935700,4031,403.100000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
510,899935710,3830,383.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
520,899935720,3831,383.100000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
530,899935730,3964,396.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
540,899935740,4046,404.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
550,899935750,3960,396.000000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
560,899935760,3586,358.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
570,899935770,4027,402.700000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
580,899935780,3914,391.400000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
590,899935790,3716,371.600000,75,10,"wc_day75_1.gz,wc_day75_2.gz,wc_day75_3.gz"
